family,genus,species,status,type,prevalence,typedetailled,EEO,pfamily,pspecie,,region,reference,,host
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Tristrongylidae,Ascaris,sp.,Mandena,"raharivololona and ganzhorn, 2008",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,protozoa,,protozoan,358995,Coccidia,Coccidia,sp.,Mandena,"raharivololona and ganzhorn, 2009",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,cestode,358995,Hymenolepididae,Hymenolepis,sp.,Mandena,"raharivololona and ganzhorn, 2010",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Tristrongylidae,Subulura,sp.,Mandena,"raharivololona and ganzhorn, 2008",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Tristrongylidae,strongylidae,sp.,Mandena,"raharivololona and ganzhorn, 2008",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Tristrongylidae,Trichuris,sp.,Mandena,"raharivololona and ganzhorn, 2008",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Tristrongylidae,Lemuricola,sp.,Mandena,"raharivololona and ganzhorn, 2008",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Tristrongylidae,Oxyuridae,sp.,Mandena,"raharivololona and ganzhorn, 2008",,Microcebus_murinus
Cheirogaleidae,Microcebus,berthae,CR,helminth,,nematode,809,Tristrongylidae,Trichuris,sp.,Kirindy,"Springer & Kappeler, 2016",,Microcebus_berthae
Cheirogaleidae,Microcebus,berthae,CR,helminth,,cestode,809,Hymenolepididae,Hymenolepis,sp.,Kirindy,"Springer & Kappeler, 2016",,Microcebus_berthae
Cheirogaleidae,Microcebus,berthae,CR,protozoa,,protozoan,809,Opisthorchiida,Opisthorchis,sp.,Kirindy,"Springer & Kappeler, 2016",,Microcebus_berthae
Cheirogaleidae,Microcebus,berthae,CR,helminth,,nematode,809,Tristrongylidae,Ascaris,sp.,Kirindy,"Springer & Kappeler, 2016",,Microcebus_berthae
Cheirogaleidae,Microcebus,murinus,LC,protozoa,,protozoan,358995,coccidia,coccidia,sp.,Kirindy,"Springer & Kappeler, 2016",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Tristrongylidae,Subulura,sp.,Kirindy,"Springer & Kappeler, 2016",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Hymenolepididae,Hymenolepis,sp.,Kirindy,"Springer & Kappeler, 2016",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Heterophyidae,Metagonimus,sp.,Kirindy,"Springer & Kappeler, 2016",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Trichuridae,Trichuris,sp.,Kirindy,"Springer & Kappeler, 2016",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Ascarididae,Ascaris,sp.,Kirindy,"Springer & Kappeler, 2016",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,strongylidae,strongylidae,sp.,Kirindy,"Springer & Kappeler, 2016",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Oxyuridae,Oxyuridae,sp.,Kirindy,"Springer & Kappeler, 2016",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Oxyuridae,Lemuricola,sp.,Kirindy,"Springer & Kappeler, 2016",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,trematode,358995,Fasciolidae,Fasciolidae,,kirindy,Martha mosna thesis,,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Chabertiidae,Oesophagostomum,sp.,Kirindy,"Springer & Kappeler, 2016",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Subuluridae,Suburula,baeri,Ampijoroa,"Chabau et al., 1965",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Subuluridae,Suburula,baeri,Mananara,"Chabau et al., 1965",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Oxyuridae,Lemuricola,microcebi,,"Hugo et al., 1995",,Microcebus_murinus
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,,cestode,49306,Hymenolepididae,Hymenolepis,,,,,Cheirogaleus_medius
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,,trematode,49306,Heterophyidae,Metagonimus,,,,,Cheirogaleus_medius
Cheirogaleidae,Cheirogaleus,medius,VU,protozoa,,protozoan,49306,coccidia,coccidia,,,,,Cheirogaleus_medius
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,,nematode,49307,Subuluridae,Subulura,sp.,Kirindy,"Springer & Kappeler, 2016",,Cheirogaleus_medius
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,,nematode,49307,Trichuridae,Trichuris,sp.,Kirindy,"Springer & Kappeler, 2016",,Cheirogaleus_medius
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,,nematode,49307,Ascarididae,Ascaris,sp.,Kirindy,"Springer & Kappeler, 2016",,Cheirogaleus_medius
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,,nematode,49307,strongylidae,strongylidae,sp.,Kirindy,"Springer & Kappeler, 2016",,Cheirogaleus_medius
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,,nematode,49307,Oxyuridae,Oxyuridae,sp.,Kirindy,"Springer & Kappeler, 2016",,Cheirogaleus_medius
Cheirogaleidae,Cheirogaleus,major,VU,helminth,,nematode,90900,Oxyuridae,Lemuricola,contagiosus,,"Chabaud and petter, 1959",,Cheirogaleus_major
Cheirogaleidae,Cheirogaleus,major,VU,helminth,,cestode,90900,Hymenolepididae,Hymenolepis,,,,,Cheirogaleus_major
Cheirogaleidae,Mirza,coquereli,EN,helminth,,nematode,85975,Trichuridae,Trichuris,sp.,Kirindy,"Springer & Kappeler, 2016",,Mirza_coquereli
Cheirogaleidae,Mirza,coquereli,EN,helminth,,nematode,85975,Ascarididae,Ascaris,sp.,Kirindy,"Springer & Kappeler, 2016",,Mirza_coquereli
Cheirogaleidae,Mirza,coquereli,EN,helminth,,nematode,85975,Subuluridae,Subulura,sp.,Kirindy,"Springer & Kappeler, 2016",,Mirza_coquereli
Cheirogaleidae,Microcebus,rufus,VU,helminth,,nematode,5191,strongylidae,Strongyloides,sp.,ranomafana,"Rafalinirina et al., 2015",,Microcebus_rufus
Cheirogaleidae,Microcebus,rufus,VU,helminth,,cestode,5192,Hymenolepididae,Hymenolepis,,,,,Microcebus_rufus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Oxyuridae,Lemuricola,,,,,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,cestode,358995,Hymenolepididae,Hymenolepis,,Ankarafantsika,"Kien et al., 2020",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Entamoebidae,Enterobiinae ,,Ankarafantsika,"Kien et al., 2020",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,strongylidae,strongylidae,sp.,Ankarafantsika,"Kien et al., 2020",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Ascarididae,Ascaris,sp.,Ankarafantsika,"Kien et al., 2020",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,strongylidae,Strongyloides,sp.,Ankarafantsika,"Kien et al., 2020",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Subuluridae,Subuluridae,sp.,Ankarafantsika,"Kien et al., 2020",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Spiruroidae,Spirura,sp.,Ankarafantsika,"Kien et al., 2020",,Microcebus_murinus
Cheirogaleidae,Microcebus,ravelobensis,VU,protozoa,,protozoan,9486,Entamoebidae,Enterobiinae ,,,,,Microcebus_ravelobensis
Cheirogaleidae,Microcebus,ravelobensis,VU,helminth,,cestode,9486,Hymenolepididae,Hymenolepis,,Ankarafantsika,"Kien et al., 2020",,Microcebus_ravelobensis
Cheirogaleidae,Microcebus,ravelobensis,VU,helminth,,nematode,9486,Oxyuridae,Lemuricola,sp.,Ankarafantsika,"Kien et al., 2020",,Microcebus_ravelobensis
Cheirogaleidae,Microcebus,ravelobensis,VU,helminth,,nematode,9486,strongylidae,strongylidae,sp.,Ankarafantsika,"Kien et al., 2020",,Microcebus_ravelobensis
Cheirogaleidae,Microcebus,ravelobensis,VU,helminth,,nematode,9486,Ascarididae,Ascaris,sp.,Ankarafantsika,"Kien et al., 2020",,Microcebus_ravelobensis
Cheirogaleidae,Microcebus,ravelobensis,VU,protozoa,,protozoan,9486,Emeriidae,Emeriidae,sp.,Ankarafantsika,"Kien et al., 2020",,Microcebus_ravelobensis
Cheirogaleidae,Microcebus,ravelobensis,VU,helminth,,nematode,9486,strongylidae,Strongyloides,sp.,Ankarafantsika,"Kien et al., 2020",,Microcebus_ravelobensis
Cheirogaleidae,Microcebus,ravelobensis,VU,helminth,,nematode,9486,Subuluridae,Subuluridae,sp.,Ankarafantsika,"Kien et al., 2020",,Microcebus_ravelobensis
Cheirogaleidae,Microcebus,ravelobensis,VU,helminth,,nematode,9486,Spiruroidae,Spirura,sp.,Ankarafantsika,"Kien et al., 2020",,Microcebus_ravelobensis
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,,nematode,49307,Spiruroidae,Spirura,diplocyphos,Ampijoroa,"Chabau et al., 1965",estomac,Cheirogaleus_medius
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,,nematode,49307,Subuluridae,Suburula,baeri,Ampijoroa,"Chabau et al., 1965",,Cheirogaleus_medius
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Spiruroidae,Spirura,diplocyphos,Ampijoroa,"Chabau et al., 1965",,Microcebus_murinus
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,,nematode,49307,Spiruroidae,Spirura,diplocyphos,Ampijoroa,"Chabau et al., 1965",,Cheirogaleus_medius
Cheirogaleidae,Microcebus,murinus,LC,helminth,,nematode,358995,Rictularioidea,Rictularia,lemuris,Ampijoroa,"Chabau et al., 1965",,Microcebus_murinus
Cheirogaleidae,Cheirogaleus,major,VU,helminth,,nematode,90900,Trichuridae,Trichuris,lemuris,Mandena,"Raharivololona 2006, 2009",,Cheirogaleus_major
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,,nematode,49307,Trichuridae,Trichuris,sp.,Mandena,"Raharivololona 2006, 2009",,Cheirogaleus_medius
Cheirogaleidae,Microcebus,murinus,LC,helminth,,trematode,358995,Dicrocoeliidae,Zonorchis,microcebi,Mahabo,"Richard, 1965",,Microcebus_murinus
Cheirogaleidae,Microcebus,murinus,LC,helminth,,trematode,358995,Fasciolidae,Fasciola,,Mandena,"raharivololona and ganzhorn, 2008",,Microcebus_murinus
Daubentonidae,Daubentonia,madagascariensis,EN,helminth,,nematode,523499,Oxyuridae,Lemuricola,daubentoniae,,"Petter et al., 1972",,Daubentonia_madagascariensis
Daubentonidae,Daubentonia,madagascariensis,EN,helminth,,nematode,523499,Ascarididae,Ascaris,petiti,Mahambo,"Chabau et al., 1965",,Daubentonia_madagascariensis
Daubentonidae,Daubentonia,madagascariensis,EN,helminth,,nematode,523499,Spiruroidae,Spirura,,,"Faulkner et al., 2004",,Daubentonia_madagascariensis
Indriidae,Propithecus,verreauxi,CR,helminth,,nematode,131892,strongylidae,strongyloides,,Kirindy,"rambeloson et al., ",,Propithecus_verreauxi
Indriidae,Propithecus,verreauxi,CR,helminth,,nematode,131892,Tristrongylidae,Pararhabdonema,,Kirindy,"rambeloson et al., ",,Propithecus_verreauxi
Indriidae,Propithecus,verreauxi,CR,helminth,,nematode,131892,Tristrongylidae,Trichostrongylidae,sp.,Kirindy,"Springer & Kappeler, 2016",,Propithecus_verreauxi
Indriidae,Propithecus,verreauxi,CR,helminth,,nematode,131892,Oxyuridae,Lemuricola,tricuroides,,"Chabaud et al., 1961",,Propithecus_verreauxi
Indriidae,Avahi,occidentalis,VU,helminth,,nematode,8619,strongylidae,strongylidae,sp.,Ankarafantsika,"Hokan et al., 2018",,Avahi_occidentalis
Indriidae,Indri,indri,CR,helminth,,nematode,61794,Oxyuridae,Callistoura,brygooi,Nosivolo,"Chabau et al., 1965",,Indri_indri
Indriidae,Indri,indri,CR,helminth,,nematode,61794,Oxyuridae,Callistoura,blanci,Nosivolo,"Chabau et al., 1965",,Indri_indri
Indriidae,Propithecus,verreauxi,CR,helminth,,nematode,131892,strongylidae,Lemurostrongylus,sp.,Tsiombokibo Classified Forest,"Junge et al., 2005",Biomedical,Propithecus_verreauxi
Indriidae,Indri,indri,CR,helminth,,nematode,61794,strongylidae,Lemurostrongylus,,,"Faulkner et al., 2004",,Indri_indri
Indriidae,Propithecus,diadema,CR,helminth,,nematode,44292,strongylidae,Lemurostrongylus,sp.,Tsinjoarivo,"Irwin, unpublished",,Propithecus_diadema
Indriidae,Indri,indri,CR,helminth,,nematode,61794,Tristrongylidae,Pararhabdonema,longistriata,,"Chabau et al., 1961a",,Indri_indri
Indriidae,Propithecus,coquereli,CR,helminth,,nematode,27662,Tristrongylidae,Pararhabdonema,longistriata,,"Chabau et al., 1965",,Propithecus_coquereli
Indriidae,Avahi,occidentalis,VU,helminth,,nematode,8619,Tristrongylidae,Pararhabdonema,longistriata,,"Chabau et al., 1965",,Avahi_occidentalis
Indriidae,Propithecus,verreauxi,CR,helminth,,nematode,131892,Oxyuridae,Oxyuridae,,Bezaha Mahafaly,"loudon and Sauther, 2013",,Propithecus_verreauxi
Indriidae,Propithecus,verreauxi,CR,helminth,,nematode,131892,strongylidae,Lemurostrongylus,,Bezaha Mahafaly,"loudon and Sauther, 2013",,Propithecus_verreauxi
Indriidae,Propithecus,verreauxi,CR,helminth,,nematode,131892,Oxyuridae,Lemuricola,,Kirindy Mitea,"Rasambainarivo et al., 2014",Biomedical,Propithecus_verreauxi
